"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"42","REGIGN","REGIGN",2014,2024,0.0242498829825937,0.00947351796246527,0.00568178777616175,0.0428179781890257,1.02454630259208,1.00569795974639,1.04374789267724,"+27.4%","+5.8%","+53.4%",0.0104746041825808,"Augmentation modérée","Augmentation modérée"
"43","PHACOL","PHACOL",2014,2024,0.0224180786641808,0.0191674046160331,-0.0151500343832441,0.0599861917116058,1.02267125213765,0.984964150027814,1.06182188450133,"+25.1%","-14.1%","+82.2%",0.242164451237297,"Incertain","Incertain"
"44","LOXCUR","LOXCUR",2014,2024,0.0218710619244061,0.0749691597133425,-0.125068491113745,0.168810614962557,1.02211198682113,0.882436461458724,1.18389590552102,"+24.4%","-71.4%","+440.9%",0.770489918559163,"Incertain","Incertain"
"45","PICPIC","PICPIC",2014,2024,0.0189296777455024,0.0063215112560372,0.00653951568366956,0.0313198398073353,1.01910997998611,1.00656094500335,1.03181546677618,"+20.8%","+6.8%","+36.8%",0.00274907558857696,"Augmentation modérée","Augmentation modérée"
"46","PHACAR","PHACAR",2014,2024,0.0185199173187185,0.0208965050246264,-0.0224372325295494,0.0594770671669862,1.01869247459021,0.977812610091316,1.06128142251082,"+20.3%","-20.1%","+81.3%",0.375472777691921,"Incertain","Incertain"
"47","MOTCIN","MOTCIN",2014,2024,0.0168676037843032,0.0165273495069855,-0.0155260012493884,0.0492612088179946,1.017010665048,0.984593905747216,1.05049471338789,"+18.4%","-14.4%","+63.7%",0.307449986761202,"Incertain","Incertain"
"48","EMBSCH","EMBSCH",2014,2024,0.0166165001038539,0.0253307857833036,-0.0330318400314212,0.0662648402391291,1.01675532198709,0.967507753621328,1.06850966405142,"+18.1%","-28.1%","+94%",0.5118367070287,"Incertain","Incertain"
"49","ARDCIN","ARDCIN",2014,2024,0.016468630760335,0.0100894887185135,-0.00330676712795144,0.0362440286486213,1.01660498616041,0.996698694205024,1.03690885108516,"+17.9%","-3.3%","+43.7%",0.102625520923642,"Incertain","Stable"
"50","FRIMON","FRIMON",2014,2024,0.0164150275797301,0.0270591534499649,-0.036620913182201,0.0694509683416613,1.01655049436021,0.964041521520757,1.07191950192546,"+17.8%","-30.7%","+100.3%",0.544093215880934,"Incertain","Incertain"
"51","RALAQU","RALAQU",2014,2024,0.01598107407284,0.0298872615131738,-0.0425979584929805,0.0745601066386606,1.01610945441059,0.958296587633401,1.07741010107569,"+17.3%","-34.7%","+110.8%",0.592849098777788,"Incertain","Incertain"
