"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"12","Milan royal","MILMIL",2015,2024,0.0896165352657312,0.0226742465414971,0.045175012044397,0.134058058487066,1.09375478689052,1.04621094340342,1.14345920522898,"+124%","+50.2%","+234.2%",7.73877679301188e-05,"Augmentation forte","Augmentation modérée"
"13","Gobemouche noir","FICHYP",2015,2024,0.0831178353007698,0.02992434441521,0.0244661202469582,0.141769550354581,1.08666984907275,1.02476787163664,1.15231106825965,"+111.3%","+24.6%","+258.2%",0.0054762120079951,"Augmentation modérée à forte","Augmentation modérée"
"14","Grande Aigrette","EGRALB",2015,2024,0.0823449791345245,0.0410662130754101,0.00185520150672082,0.162834756762328,1.08583033403319,1.00185692345773,1.17684220840381,"+109.8%","+1.7%","+333%",0.0449442497968344,"Augmentation modérée à forte","Augmentation modérée"
"15","Circaète Jean-le-blanc","CIRGAL",2015,2024,0.0814833296386885,0.0550909381651811,-0.0264949091650665,0.189461568442443,1.08489513183942,0.973853001547796,1.20859867476735,"+108.2%","-21.2%","+450.2%",0.139121724924909,"Incertain","Incertain"
"16","Goéland argenté","LARARG",2015,2024,0.0802402174961933,0.0568299899555151,-0.0311465628166163,0.191626997809003,1.08354732343976,0.969333494417374,1.21121864548707,"+105.9%","-24.4%","+461.1%",0.157969279081123,"Incertain","Incertain"
"17","Echasse blanche","HIMHIM",2015,2024,0.0732899978135498,0.0684043159811455,-0.0607824615094954,0.207362457136595,1.07604254165654,0.941027927306323,1.23042846854613,"+93.4%","-42.1%","+546.4%",0.283979010480842,"Incertain","Incertain"
"18","Rousserolle verderolle","ACRRIS",2015,2024,0.0690450787667501,0.0293149426404343,0.0115877911914989,0.126502366342001,1.07148450925995,1.01165518972564,1.13485213662117,"+86.2%","+11%","+212.2%",0.0185084462392026,"Augmentation modérée à forte","Augmentation modérée"
"19","Pigeon colombin","COLOEN",2015,2024,0.0642887069047476,0.0125586331578421,0.039673785915377,0.088903627894118,1.0664002314327,1.04047130243166,1.09297531891746,"+78.4%","+42.9%","+122.6%",3.07022053606787e-07,"Augmentation forte","Augmentation modérée"
"20","Choucas des tours","CORMON",2015,2024,0.0639364246778341,0.0131624122129434,0.0381380967404651,0.0897347526152031,1.06602462374823,1.0388746881811,1.0938840953255,"+77.8%","+41%","+124.3%",1.18876802188363e-06,"Augmentation forte","Augmentation modérée"
"21","Alouette lulu","LULARB",2015,2024,0.0636330504684021,0.0060672138338679,0.051741311354021,0.0755247895827833,1.06570126842208,1.05310328141164,1.07844996171129,"+77.3%","+59.3%","+97.3%",9.80634096705807e-26,"Augmentation forte","Forte augmentation"
"22","Râle d'eau","RALAQU",2015,2024,0.062775088734257,0.042178580723048,-0.0198949294829171,0.145445106951431,1.06478732963206,0.980301668698998,1.15655424605126,"+75.9%","-16.4%","+270.2%",0.136667376217379,"Incertain","Incertain"
"23","Grand Corbeau","CORRAX",2015,2024,0.0623505226613499,0.0178621991762602,0.0273406122758799,0.0973604330468199,1.06433535301079,1.02771779645164,1.10225759209368,"+75.3%","+27.9%","+140.2%",0.000481863485688663,"Augmentation modérée à forte","Augmentation modérée"
"24","Pic mar","DENMED",2015,2024,0.0611267652483665,0.0129805347734449,0.0356849170924146,0.0865686134043186,1.06303366137249,1.03632926540541,1.09042618300366,"+73.3%","+37.9%","+118%",2.48800860217266e-06,"Augmentation forte","Augmentation modérée"
"25","Bruant proyer","MILCAL",2015,2024,0.0604490092205768,0.00635328543934531,0.04799656975946,0.0729014486816938,1.06231342799958,1.04916705642293,1.07562452747592,"+72.3%","+54%","+92.7%",1.82402375728682e-21,"Augmentation forte","Augmentation modérée"
"26","Grand Cormoran","PHACAR",2015,2024,0.0579657477778104,0.0248601392095704,0.00923987492705258,0.106691620628569,1.05967869873843,1.00928269435182,1.11259110142687,"+68.5%","+8.7%","+161.2%",0.0197178316270858,"Augmentation modérée à forte","Augmentation modérée"
"27","Fauvette mélanocéphale","SYLMEL",2015,2024,0.0561049507021905,0.0176652895204115,0.0214809832421842,0.090728918162197,1.05770868518089,1.0217133604771,1.09497213796312,"+65.7%","+21.3%","+126.3%",0.00149321208068737,"Augmentation modérée à forte","Augmentation modérée"
"28","Tadorne de Belon","TADTAD",2015,2024,0.0550624567681604,0.0393374458120372,-0.0220389370234325,0.132163850559753,1.05660660484846,0.978202146029797,1.14129530582259,"+64.1%","-18%","+228.5%",0.161589208172024,"Incertain","Incertain"
"29","Aigrette garzette","EGRGAR",2015,2024,0.0510591177707672,0.032528928140949,-0.0126975813854928,0.114815816927027,1.05238510610571,0.987382692779239,1.12166682650243,"+58.3%","-10.8%","+181%",0.116495946061133,"Incertain","Incertain"
"30","Pie-grièche écorcheur","LANCOL",2015,2024,0.0469785203348091,0.00624238762980858,0.0347434405803844,0.059213600089234,1.04809949601161,1.03535404488894,1.0610018466269,"+52.6%","+36.7%","+70.4%",5.24268043998611e-14,"Augmentation forte","Augmentation modérée"
"31","Pigeon biset","COLLIV",2015,2024,0.0452990015917222,0.0146135887173289,0.0166563677057577,0.073941635477687,1.04634067066694,1.01679585839154,1.07674396001538,"+50.3%","+16.2%","+94.5%",0.00193660335478939,"Augmentation modérée à forte","Augmentation modérée"
"32","Chevêche d'Athéna","ATHNOC",2015,2024,0.0448258887174032,0.0236103883943412,-0.00145047253550564,0.0911022499703118,1.04584575051051,0.998550578891366,1.09538100220748,"+49.7%","-1.3%","+127%",0.0576215173732643,"Incertain","Incertain"
"33","Goéland leucophée","LARMIC",2015,2024,0.041699405502624,0.0472993832973459,-0.0510073857601741,0.134406196765422,1.04258103752082,0.950271652027986,1.14385735644988,"+45.5%","-36.8%","+235.2%",0.377990076426036,"Incertain","Incertain"
"34","Busard des roseaux","CIRAER",2015,2024,0.0391685699796319,0.0325042195641588,-0.0245397003661194,0.102876840325383,1.03994577251321,0.975758950161875,1.10835489604137,"+42.3%","-19.8%","+152.4%",0.228191598717309,"Incertain","Incertain"
"35","Sterne pierregarin","STEHIR",2015,2024,0.0383977275669731,0.0430437701985452,-0.0459680620221757,0.122763517156122,1.03914444709238,0.955072464786817,1.1306170178029,"+41.3%","-33.9%","+201.9%",0.372359504201099,"Incertain","Incertain"
"36","Bihoreau gris","NYCNYC",2015,2024,0.0368075706925478,0.0524574912281796,-0.0660091121146842,0.13962425349978,1.03749335749996,0.936122334198688,1.14984166869379,"+39.3%","-44.8%","+251.4%",0.482888282099427,"Incertain","Incertain"
"37","Chevalier culblanc","TRIOCH",2015,2024,0.0367423065876536,0.0473393557151769,-0.0560428306140931,0.1295274437894,1.03742564863416,0.945498638735822,1.13829035003477,"+39.2%","-39.6%","+220.8%",0.43766209982937,"Incertain","Incertain"
"38","Pie-grièche à tête rousse","LANSEN",2015,2024,0.0352880223136865,0.0402677659259152,-0.0436367989011073,0.11421284352848,1.03591803334425,0.957301587327942,1.12099069510913,"+37.4%","-32.5%","+179.5%",0.380848352635847,"Incertain","Incertain"
"39","Milan noir","MILMIG",2015,2024,0.035171235916701,0.00737870228022987,0.0207089794474505,0.0496334923859515,1.03579705927377,1.02092489827275,1.05088586811363,"+37.2%","+20.5%","+56.3%",1.87371638179176e-06,"Augmentation modérée à forte","Augmentation modérée"
"40","Rousserolle turdoïde","ACRARU",2015,2024,0.0343536589720968,0.0394779653973596,-0.043023153206728,0.111730471150922,1.03495056156447,0.957889211603342,1.11821142978502,"+36.2%","-32.1%","+173.3%",0.384192036567285,"Incertain","Incertain"
"41","Pigeon ramier","COLPAL",2015,2024,0.0309765072891163,0.0023862019830042,0.026299551402428,0.0356534631758045,1.03146127178044,1.02664843639585,1.03629666930375,"+32.2%","+26.7%","+37.8%",1.55776746614256e-38,"Augmentation modérée à forte","Augmentation modérée"
"42","Bergeronnette des ruisseaux","MOTCIN",2015,2024,0.0292633704304424,0.0132449011473706,0.0033033641815959,0.0552233766792889,1.02969575017932,1.00330882630186,1.05677664757068,"+30.1%","+3%","+64.4%",0.0271463806752591,"Augmentation modérée","Augmentation modérée"
"43","Loriot d'Europe","ORIORI",2015,2024,0.0273500221963927,0.00430733876886351,0.0189076382094202,0.0357924061833652,1.02772746723992,1.01908751952245,1.03644066548311,"+27.9%","+18.6%","+38%",2.15828610731654e-10,"Augmentation modérée","Augmentation modérée"
"44","Martin-pêcheur d'Europe","ALCATT",2015,2024,0.0267424374338114,0.0182809771542057,-0.00908827778843181,0.0625731526560546,1.02710322534987,0.990952895781458,1.06457233236317,"+27.2%","-7.9%","+75.6%",0.143506781162154,"Incertain","Incertain"
"45","Pic épeichette","DENMIN",2015,2024,0.0266385682165201,0.0132235296442721,0.000720450113746552,0.0525566863192934,1.0269965464822,1.00072070970027,1.05396230562898,"+27.1%","+0.7%","+60.5%",0.0439589070442883,"Augmentation modérée","Augmentation modérée"
"46","Pic noir","DRYMAR",2015,2024,0.0264092854516387,0.00769887055628378,0.0113194991613226,0.0414990717419548,1.02676110086734,1.01138380710748,1.04237219426065,"+26.8%","+10.7%","+45.3%",0.000602957614289655,"Augmentation modérée","Augmentation modérée"
"47","Hirondelle de rochers","PTYRUP",2015,2024,0.0248404639386718,0.0287281747593949,-0.0314667585897422,0.0811476864670859,1.02515155883582,0.969023167615028,1.08453105529983,"+25.1%","-24.7%","+107.6%",0.387218543469822,"Incertain","Incertain"
"48","Étourneau sansonnet","STUVUL",2015,2024,0.0241696453404211,0.00553019808771838,0.0133304570884932,0.0350088335923493,1.02446409871043,1.01341970375696,1.03562885708237,"+24.3%","+12.7%","+37%",1.23971122429038e-05,"Augmentation modérée","Augmentation modérée"
